timestamp_unix,timestamp_iso,voltage_v,current_a,power_w,temp_c,energy_ws,capacity_as,duration_sec
1778536223.007393,2026-05-11T22:50:23.007395,5.12859,0.62654,3.2132667786,27.5,0.032132667786,0.0062654,0.01206517219543457
1778536223.0074334,2026-05-11T22:50:23.007434,5.12859,0.6371,3.267424689,27.5,0.064806914676,0.012636399999999999,0.01206517219543457
1778536223.00744,2026-05-11T22:50:23.007440,5.12859,0.6371,3.267424689,27.5,0.09748116156600001,0.0190074,0.01206517219543457
1778536223.007444,2026-05-11T22:50:23.007444,5.12859,0.6371,3.267424689,27.5,0.13015540845600002,0.025378400000000002,0.01206517219543457
1778536223.0355234,2026-05-11T22:50:23.035526,5.12781,0.62405,3.2000098305,27.5,0.16215550676100002,0.031618900000000005,0.04019451141357422
1778536223.0355413,2026-05-11T22:50:23.035541,5.12781,0.63431,3.2526211611000004,27.5,0.19468171837200002,0.03796200000000001,0.04019451141357422
1778536223.035557,2026-05-11T22:50:23.035557,5.12781,0.63431,3.2526211611000004,27.5,0.22720792998300002,0.044305100000000014,0.04019451141357422
1778536223.0355616,2026-05-11T22:50:23.035561,5.12781,0.63431,3.2526211611000004,27.5,0.25973414159400005,0.05064820000000002,0.04019451141357422
1778536223.0754905,2026-05-11T22:50:23.075493,5.12781,0.63431,3.2526211611000004,27.5,0.29226035320500005,0.05699130000000002,0.08015990257263184
1778536223.0755177,2026-05-11T22:50:23.075518,5.12781,0.63431,3.2526211611000004,27.5,0.32478656481600005,0.06333440000000003,0.08015990257263184
1778536223.075527,2026-05-11T22:50:23.075527,5.12781,0.63431,3.2526211611000004,27.5,0.35731277642700005,0.06967750000000003,0.08015990257263184
1778536223.0755374,2026-05-11T22:50:23.075539,5.12781,0.65319,3.3494342139000004,27.5,0.39080711856600003,0.07620940000000004,0.08015990257263184
1778536223.1157608,2026-05-11T22:50:23.115766,5.12781,0.63431,3.2526211611000004,27.5,0.42333333017700003,0.08255250000000004,0.12042045593261719
1778536223.1158097,2026-05-11T22:50:23.115811,5.12781,0.63431,3.2526211611000004,27.5,0.45585954178800003,0.08889560000000005,0.12042045593261719
1778536223.1158278,2026-05-11T22:50:23.115828,5.12777,0.63434,3.2527496218,27.5,0.48838703800600003,0.09523900000000005,0.12042045593261719
1778536223.115843,2026-05-11T22:50:23.115843,5.12777,0.63434,3.2527496218,27.5,0.520914534224,0.10158240000000004,0.12042045593261719
1778536223.1556783,2026-05-11T22:50:23.155683,5.12777,0.63434,3.2527496218,27.5,0.553442030442,0.10792580000000004,0.1603379249572754
1778536223.1557262,2026-05-11T22:50:23.155727,5.12777,0.63434,3.2527496218,27.5,0.58596952666,0.11426920000000004,0.1603379249572754
1778536223.155744,2026-05-11T22:50:23.155744,5.12777,0.61982,3.1782944014,27.5,0.6177524706740001,0.12046740000000004,0.1603379249572754
1778536223.1557596,2026-05-11T22:50:23.155760,5.12777,0.63434,3.2527496218,27.5,0.6502799668920001,0.12681080000000006,0.1603379249572754
1778536223.195636,2026-05-11T22:50:23.195640,5.12777,0.63434,3.2527496218,27.5,0.6828074631100001,0.13315420000000006,0.20029544830322266
1778536223.1956778,2026-05-11T22:50:23.195678,5.12777,0.63434,3.2527496218,27.5,0.7153349593280001,0.13949760000000005,0.20029544830322266
1778536223.195695,2026-05-11T22:50:23.195695,5.12777,0.63434,3.2527496218,27.5,0.7478624555460001,0.14584100000000005,0.20029544830322266
1778536223.1957102,2026-05-11T22:50:23.195710,5.12777,0.63434,3.2527496218,27.5,0.7803899517640001,0.15218440000000005,0.20029544830322266
1778536223.2356384,2026-05-11T22:50:23.235644,5.12777,0.63405,3.2512625685,27.5,0.8129025774490001,0.15852490000000005,0.24029779434204102
1778536223.2356873,2026-05-11T22:50:23.235688,5.12777,0.63405,3.2512625685,27.5,0.8454152031340001,0.16486540000000005,0.24029779434204102
1778536223.235734,2026-05-11T22:50:23.235737,5.12777,0.63405,3.2512625685,27.5,0.8779278288190001,0.17120590000000005,0.24029779434204102
1778536223.235752,2026-05-11T22:50:23.235752,5.12777,0.63405,3.2512625685,27.5,0.9104404545040001,0.17754640000000005,0.24029779434204102
1778536223.2755551,2026-05-11T22:50:23.275560,5.12777,0.63405,3.2512625685,27.5,0.9429530801890001,0.18388690000000005,0.2802140712738037
1778536223.2756023,2026-05-11T22:50:23.275603,5.12777,0.63405,3.2512625685,27.5,0.9754657058740002,0.19022740000000005,0.2802140712738037
1778536223.2756205,2026-05-11T22:50:23.275621,5.12777,0.64572,3.3111036443999997,27.5,1.008576742318,0.19668460000000004,0.2802140712738037
1778536223.2756352,2026-05-11T22:50:23.275636,5.12777,0.63405,3.2512625685,27.5,1.041089368003,0.20302510000000004,0.2802140712738037
1778536223.3156726,2026-05-11T22:50:23.315677,5.12777,0.63405,3.2512625685,27.5,1.073601993688,0.20936560000000004,0.32033205032348633
1778536223.3157215,2026-05-11T22:50:23.315722,5.12777,0.63405,3.2512625685,27.5,1.1061146193729998,0.21570610000000004,0.32033205032348633
1778536223.3157394,2026-05-11T22:50:23.315740,5.12773,0.65169,3.3416903636999997,27.5,1.1395315230099998,0.22222300000000003,0.32033205032348633
1778536223.3157542,2026-05-11T22:50:23.315755,5.12773,0.63428,3.2524165843999997,27.5,1.172055688854,0.22856580000000004,0.32033205032348633
1778536223.3557432,2026-05-11T22:50:23.355748,5.12773,0.63428,3.2524165843999997,27.5,1.204579854698,0.23490860000000005,0.36040282249450684
1778536223.355791,2026-05-11T22:50:23.355792,5.12773,0.62106,3.1846279937999995,27.5,1.236426134636,0.24111920000000006,0.36040282249450684
1778536223.355809,2026-05-11T22:50:23.355809,5.12773,0.61733,3.1655015609,27.5,1.268081150245,0.24729250000000005,0.36040282249450684
1778536223.3558245,2026-05-11T22:50:23.355825,5.12773,0.63428,3.2524165843999997,27.5,1.300605316089,0.25363530000000006,0.36040282249450684
1778536223.395463,2026-05-11T22:50:23.395464,5.12773,0.63428,3.2524165843999997,27.5,1.3331294819330002,0.25997810000000005,0.40013623237609863
1778536223.3954792,2026-05-11T22:50:23.395479,5.12773,0.63428,3.2524165843999997,27.5,1.3656536477770003,0.2663209,0.40013623237609863
1778536223.3954837,2026-05-11T22:50:23.395483,5.12773,0.63428,3.2524165843999997,27.5,1.3981778136210004,0.2726637,0.40013623237609863
1778536223.3954875,2026-05-11T22:50:23.395487,5.12773,0.65742,3.3710722565999998,27.5,1.4318885361870004,0.2792379,0.40013623237609863
1778536223.4355087,2026-05-11T22:50:23.435511,5.12773,0.6345,3.2535446849999996,27.5,1.4644239830370005,0.2855829,0.44017958641052246
1778536223.4355433,2026-05-11T22:50:23.435544,5.12773,0.6345,3.2535446849999996,27.5,1.4969594298870006,0.29192789999999996,0.44017958641052246
1778536223.4355516,2026-05-11T22:50:23.435552,5.12773,0.6345,3.2535446849999996,27.5,1.5294948767370007,0.29827289999999995,0.44017958641052246
1778536223.4355583,2026-05-11T22:50:23.435558,5.12773,0.62081,3.1833460612999995,27.5,1.5613283373500007,0.30448099999999995,0.44017958641052246
1778536223.4751704,2026-05-11T22:50:23.475172,5.12773,0.62007,3.1795515411,27.5,1.5931238527610005,0.31068169999999995,0.479844331741333
1778536223.475186,2026-05-11T22:50:23.475186,5.12773,0.6345,3.2535446849999996,27.5,1.6256592996110006,0.31702669999999994,0.479844331741333
1778536223.4751909,2026-05-11T22:50:23.475191,5.12773,0.6345,3.2535446849999996,27.5,1.6581947464610007,0.32337169999999993,0.479844331741333
1778536223.4751947,2026-05-11T22:50:23.475194,5.12773,0.6345,3.2535446849999996,27.5,1.6907301933110008,0.3297166999999999,0.479844331741333
1778536223.5154748,2026-05-11T22:50:23.515476,5.12773,0.6345,3.2535446849999996,27.5,1.723265640161001,0.3360616999999999,0.5201475620269775
1778536223.5154939,2026-05-11T22:50:23.515494,5.12773,0.6345,3.2535446849999996,27.5,1.755801087011001,0.3424066999999999,0.5201475620269775
1778536223.5155008,2026-05-11T22:50:23.515501,5.12773,0.63452,3.2536472396,27.5,1.788337559407001,0.3487518999999999,0.5201475620269775
1778536223.5155063,2026-05-11T22:50:23.515506,5.12773,0.63452,3.2536472396,27.5,1.820874031803001,0.3550970999999999,0.5201475620269775
1778536229.4585228,2026-05-11T22:50:29.458528,5.12773,0.64083,3.2860032158999997,27.5,0.032860032159,0.0064083000000000005,0.015232324600219727
1778536229.4586365,2026-05-11T22:50:29.458639,5.12773,0.64083,3.2860032158999997,27.5,0.065720064318,0.012816600000000001,0.015232324600219727
1778536229.4586656,2026-05-11T22:50:29.458666,5.12781,0.64071,3.2854391451000002,27.5,0.09857445576900001,0.0192237,0.015232324600219727
1778536229.4586847,2026-05-11T22:50:29.458690,5.13208,1.04914,5.3842704112,27.5,0.15241715988100002,0.0297151,0.015232324600219727
1778536229.4913945,2026-05-11T22:50:29.491399,5.13208,1.03668,5.3203246944,27.5,0.20562040682500002,0.040081900000000004,0.0481114387512207
1778536229.491426,2026-05-11T22:50:29.491426,5.13208,1.03693,5.3216077144,27.5,0.258836483969,0.0504512,0.0481114387512207
1778536229.4914541,2026-05-11T22:50:29.491454,5.13208,1.05188,5.3983323104,27.5,0.312819807073,0.06097,0.0481114387512207
1778536229.4914637,2026-05-11T22:50:29.491464,5.13208,1.04839,5.3804213512,27.5,0.366624020585,0.0714539,0.0481114387512207
1778536229.5315216,2026-05-11T22:50:29.531527,5.13208,1.06203,5.4504229224000005,27.5,0.421128249809,0.0820742,0.08823466300964355
1778536229.5315711,2026-05-11T22:50:29.531572,5.13208,1.03718,5.3228907344000005,27.5,0.474357157153,0.092446,0.08823466300964355
1778536229.5315893,2026-05-11T22:50:29.531590,5.13208,1.04739,5.375289271200001,27.5,0.528110049865,0.10291990000000001,0.08823466300964355
1778536229.5316095,2026-05-11T22:50:29.531613,5.13208,1.06203,5.4504229224000005,27.5,0.582614279089,0.11354020000000001,0.08823466300964355
1778536229.5715194,2026-05-11T22:50:29.571525,5.13208,1.04739,5.375289271200001,27.5,0.636367171801,0.12401410000000002,0.12823224067687988
1778536229.57157,2026-05-11T22:50:29.571571,5.13208,1.03893,5.3318718744,27.5,0.689685890545,0.1344034,0.12823224067687988
1778536229.5715885,2026-05-11T22:50:29.571589,5.13208,1.03046,5.2884031568,27.5,0.742569922113,0.144708,0.12823224067687988
1778536229.5716043,2026-05-11T22:50:29.571604,5.13208,1.05188,5.3983323104,27.5,0.796553245217,0.1552268,0.12823224067687988
1778536229.6115432,2026-05-11T22:50:29.611547,5.13208,1.04789,5.3778553112,27.5,0.850331798329,0.1657057,0.16826295852661133
1778536229.6115766,2026-05-11T22:50:29.611577,5.13208,1.05063,5.3919172104,27.5,0.904250970433,0.176212,0.16826295852661133
1778536229.611588,2026-05-11T22:50:29.611588,5.13204,1.0603,5.441502012,27.5,0.958665990553,0.186815,0.16826295852661133
1778536229.6115987,2026-05-11T22:50:29.611599,5.13204,1.04341,5.3548218564,27.5,1.0122142091169999,0.1972491,0.16826295852661133
1778536229.6513362,2026-05-11T22:50:29.651338,5.13204,1.0337,5.304989748000001,27.5,1.0652641065969999,0.20758610000000002,0.20806431770324707
1778536229.6513515,2026-05-11T22:50:29.651351,5.13204,1.0603,5.441502012,27.5,1.1196791267169999,0.21818910000000002,0.20806431770324707
1778536229.6513567,2026-05-11T22:50:29.651356,5.13204,1.04416,5.3586708864,27.5,1.173265835581,0.22863070000000002,0.20806431770324707
1778536229.6513603,2026-05-11T22:50:29.651360,5.13204,1.04366,5.3561048664,27.5,1.2268268842449999,0.2390673,0.20806431770324707
1778536229.6915343,2026-05-11T22:50:29.691536,5.13204,1.04316,5.3535388464,27.5,1.2803622727089998,0.24949890000000002,0.2482595443725586
1778536229.6915514,2026-05-11T22:50:29.691551,5.13204,1.02946,5.2832298984,27.5,1.3331945716929998,0.2597935,0.2482595443725586
1778536229.6915684,2026-05-11T22:50:29.691569,5.13204,1.04515,5.363751606,27.5,1.3868320877529998,0.270245,0.2482595443725586
1778536229.691574,2026-05-11T22:50:29.691574,5.13204,1.04689,5.3726813556,27.5,1.4405589013089999,0.2807139,0.2482595443725586
1778536229.731704,2026-05-11T22:50:29.731719,5.13208,1.05757,5.427533845599999,27.5,1.4948342397649999,0.29128960000000004,0.28841710090637207
1778536229.7317753,2026-05-11T22:50:29.731776,5.13208,1.04042,5.3395186736,27.5,1.548229426501,0.3016938,0.28841710090637207
1778536229.7317934,2026-05-11T22:50:29.731794,5.13208,1.0332,5.302465056,27.5,1.601254077061,0.3120258,0.28841710090637207
1778536229.7318084,2026-05-11T22:50:29.731809,5.13208,1.02971,5.2845540968,27.5,1.654099618029,0.3223229,0.28841710090637207
1778536229.7717412,2026-05-11T22:50:29.771746,5.13208,1.04291,5.3522975528000005,27.5,1.707622593557,0.33275200000000005,0.32845449447631836
1778536229.7717903,2026-05-11T22:50:29.771791,5.12018,1.0449,5.350076082,27.5,1.761123354377,0.34320100000000003,0.32845449447631836
1778536229.7718086,2026-05-11T22:50:29.771809,5.13208,1.04366,5.3561466128,27.5,1.814684820505,0.35363760000000005,0.32845449447631836
1778536229.7718236,2026-05-11T22:50:29.771824,5.13208,1.04042,5.3395186736,27.5,1.868080007241,0.3640418,0.32845449447631836
1778536229.8117452,2026-05-11T22:50:29.811750,5.13208,1.03718,5.3228907344000005,27.5,1.921308914585,0.3744136,0.36845874786376953
1778536229.8117962,2026-05-11T22:50:29.811797,5.13208,1.09994,5.6449800751999994,27.5,1.977758715337,0.385413,0.36845874786376953
1778536229.8118134,2026-05-11T22:50:29.811814,5.13208,1.04241,5.349731512800001,27.5,2.031256030465,0.3958371,0.36845874786376953
1778536229.8118284,2026-05-11T22:50:29.811829,5.13208,1.04416,5.3587126528,27.5,2.0848431569929997,0.4062787,0.36845874786376953
1778536229.8517497,2026-05-11T22:50:29.851755,5.13208,1.04067,5.3408016936000005,27.5,2.1382511739289995,0.4166854,0.4084627628326416
1778536229.8517995,2026-05-11T22:50:29.851800,5.13208,1.03917,5.3331035736,27.5,2.1915822096649995,0.4270771,0.4084627628326416
1778536229.851818,2026-05-11T22:50:29.851818,5.13208,1.04316,5.3535805728,27.5,2.2451180153929995,0.4375087,0.4084627628326416
1778536229.8518336,2026-05-11T22:50:29.851834,5.13208,1.04316,5.3535805728,27.5,2.2986538211209995,0.44794029999999996,0.4084627628326416
1778536229.8916879,2026-05-11T22:50:29.891693,5.13208,1.04216,5.3484484928,27.5,2.3521383060489995,0.45836189999999993,0.44840073585510254
1778536229.8917618,2026-05-11T22:50:29.891762,5.13208,1.04191,5.3471654727999995,27.5,2.4056099607769994,0.46878099999999995,0.44840073585510254
1778536229.89178,2026-05-11T22:50:29.891780,5.13208,1.02921,5.2819880568,27.5,2.458429841344999,0.4790731,0.44840073585510254
1778536229.8917935,2026-05-11T22:50:29.891794,5.13208,1.0332,5.302465056,27.5,2.511454491904999,0.4894051,0.44840073585510254
1778536229.93174,2026-05-11T22:50:29.931746,5.13204,1.04888,5.3828941152,27.5,2.565283433056999,0.4998939,0.4884529113769531
1778536229.93179,2026-05-11T22:50:29.931791,5.13204,1.0327,5.299857707999999,27.5,2.618282010136999,0.5102209,0.4884529113769531
1778536229.9318085,2026-05-11T22:50:29.931809,5.13204,1.04888,5.3828941152,27.5,2.672110951288999,0.5207096999999999,0.4884529113769531
1778536229.9318237,2026-05-11T22:50:29.931824,5.13204,1.04888,5.3828941152,27.5,2.725939892440999,0.5311984999999999,0.4884529113769531
1778536229.9717336,2026-05-11T22:50:29.971739,5.13204,1.08425,5.56441437,27.5,2.781584036140999,0.5420409999999999,0.5284459590911865
1778536229.9717834,2026-05-11T22:50:29.971785,5.13204,1.04888,5.3828941152,27.5,2.8354129772929992,0.5525297999999998,0.5284459590911865
1778536229.9718027,2026-05-11T22:50:29.971803,5.13204,1.04888,5.3828941152,27.5,2.8892419184449993,0.5630185999999998,0.5284459590911865
1778536229.971818,2026-05-11T22:50:29.971818,5.13204,1.04888,5.3828941152,27.5,2.9430708595969994,0.5735073999999998,0.5284459590911865
1778536230.011748,2026-05-11T22:50:30.011754,5.13204,1.03569,5.3152025076,27.5,2.9962228846729992,0.5838642999999998,0.5684611797332764
1778536230.0118027,2026-05-11T22:50:30.011806,5.13204,1.04888,5.3828941152,27.5,3.0500518258249993,0.5943530999999997,0.5684611797332764
1778536230.0118237,2026-05-11T22:50:30.011824,5.13204,1.04756,5.3761198224,27.5,3.1038130240489994,0.6048286999999998,0.5684611797332764
1778536230.011839,2026-05-11T22:50:30.011839,5.13204,1.04756,5.3761198224,27.5,3.1575742222729994,0.6153042999999998,0.5684611797332764
1778536230.0517483,2026-05-11T22:50:30.051754,5.13204,1.04756,5.3761198224,27.5,3.2113354204969995,0.6257798999999998,0.6084606647491455
1778536230.0517988,2026-05-11T22:50:30.051799,5.13204,1.04756,5.3761198224,27.5,3.2650966187209995,0.6362554999999999,0.6084606647491455
1778536230.051818,2026-05-11T22:50:30.051818,5.13204,1.03668,5.3202832272,27.5,3.3182994509929995,0.6466222999999999,0.6084606647491455
1778536230.0518346,2026-05-11T22:50:30.051862,5.13204,1.03046,5.2883619384,27.5,3.3711830703769996,0.6569268999999999,0.6084606647491455
1778536230.0917387,2026-05-11T22:50:30.091744,5.13204,1.04756,5.3761198224,27.5,3.4249442686009997,0.6674024999999999,0.6484510898590088
1778536230.0918114,2026-05-11T22:50:30.091812,5.13204,1.04756,5.3761198224,27.5,3.4787054668249997,0.6778780999999999,0.6484510898590088
1778536230.0918295,2026-05-11T22:50:30.091830,5.13204,1.04756,5.3761198224,27.5,3.5324666650489998,0.6883537,0.6484510898590088
1778536230.0918431,2026-05-11T22:50:30.091843,5.13204,1.02598,5.265370399199999,27.5,3.585120369041,0.6986135,0.6484510898590088
1778536230.1317463,2026-05-11T22:50:30.131751,5.132,1.03569,5.315161079999999,27.5,3.638271979841,0.7089704,0.6884598731994629
1778536230.1317956,2026-05-11T22:50:30.131796,5.132,1.04684,5.37238288,27.5,3.691995808641,0.7194388,0.6884598731994629
1778536230.1318135,2026-05-11T22:50:30.131814,5.132,1.04684,5.37238288,27.5,3.745719637441,0.7299072000000001,0.6884598731994629
1778536230.1318288,2026-05-11T22:50:30.131829,5.132,1.04684,5.37238288,27.5,3.7994434662409997,0.7403756000000001,0.6884598731994629
1778536230.1713283,2026-05-11T22:50:30.171334,5.132,1.03121,5.2921697199999995,27.5,3.8523651634409997,0.7506877000000002,0.7280409336090088
1778536230.1713774,2026-05-11T22:50:30.171378,5.132,1.04684,5.37238288,27.5,3.9060889922409996,0.7611561000000002,0.7280409336090088
1778536230.1713958,2026-05-11T22:50:30.171396,5.132,1.04684,5.37238288,27.5,3.9598128210409995,0.7716245000000003,0.7280409336090088
1778536230.1714108,2026-05-11T22:50:30.171411,5.132,1.04684,5.37238288,27.5,4.013536649841,0.7820929000000003,0.7280409336090088
1778536230.2115579,2026-05-11T22:50:30.211560,5.132,1.04684,5.37238288,27.5,4.067260478641,0.7925613000000004,0.7682833671569824
1778536230.211578,2026-05-11T22:50:30.211578,5.132,1.04684,5.37238288,27.5,4.120984307441,0.8030297000000004,0.7682833671569824
1778536230.2115834,2026-05-11T22:50:30.211583,5.13204,1.02697,5.2704511188,27.5,4.1736888186289995,0.8132994000000004,0.7682833671569824
1778536230.2115886,2026-05-11T22:50:30.211588,5.13204,1.04588,5.3674979952,27.5,4.227363798581,0.8237582000000004,0.7682833671569824
1778536230.2516577,2026-05-11T22:50:30.251663,5.13204,1.05611,5.419998764400001,27.5,4.281563786225,0.8343193000000004,0.8083698749542236
1778536230.251734,2026-05-11T22:50:30.251735,5.13204,1.04588,5.3674979952,27.5,4.335238766177,0.8447781000000004,0.8083698749542236
