Timestamp,Scenario,Temp,Hum,AccX_RMS,AccY_RMS,AccZ_RMS
2026-04-01 21:52:15,D0,25.31,51.0,2364.0124280553177,2702.7955231574583,1977.085025991548
2026-04-01 21:52:16,D0,25.32,51.0,2345.288214697716,2711.2370313198367,1987.7667041179657
2026-04-01 21:52:17,D0,25.32,51.0,2327.918430701557,2719.219005523461,1998.2052422111199
2026-04-01 21:52:18,D0,25.32,51.0,2309.452361491789,2727.601437160495,2007.8979730056008
2026-04-01 21:52:19,D0,25.34,50.0,2291.250691216481,2735.2504437436805,2018.4829625240834
2026-04-01 21:52:20,D0,25.34,50.0,2266.420583210451,2743.1986730822105,2029.704530221086
2026-04-01 21:52:21,D0,25.34,50.0,2272.180571609572,2735.0964315723863,2033.8314187759024
2026-04-01 21:52:22,D0,25.35,50.0,2282.722611269271,2714.8628768319036,2037.9792736924485
2026-04-01 21:52:23,D0,25.35,50.0,2294.305149713089,2717.8173135808815,2011.4433449640087
2026-04-01 21:52:24,D0,25.35,50.0,2292.9537544398927,2715.7720357202297,2014.4138254092677
2026-04-01 21:52:25,D0,25.36,50.0,2294.7757624656924,2713.3279915999833,2015.3101647141068
2026-04-01 21:52:26,D0,25.36,50.0,2297.9341918340483,2708.8463946853835,2017.9905500274276
2026-04-01 21:52:27,D0,25.36,50.0,2300.2876559247975,2704.7681065111665,2020.8060817406504
2026-04-01 21:52:28,D0,25.36,50.0,2302.866316137348,2700.564391011627,2023.5569623808467
2026-04-01 21:52:29,D0,25.36,50.0,2305.7709491621235,2695.9242626602104,2026.524806164484
2026-04-01 21:52:30,D0,25.36,50.0,2308.6907696787807,2691.360271312631,2029.3375865045225
2026-04-01 21:52:31,D0,25.36,50.0,2310.462109622229,2687.723959040437,2032.2503881165824
2026-04-01 21:52:32,D0,25.36,50.0,2313.28261135556,2683.2290323414436,2035.1876473681732
2026-04-01 21:52:33,D0,25.36,50.0,2314.2506886679325,2680.0167518133167,2038.1937493771293
2026-04-01 21:52:34,D0,25.36,50.0,2316.0482399984676,2676.5196337781645,2041.0732740399105
2026-04-01 21:52:35,D0,25.37,50.0,2318.9403183350796,2671.8874938889176,2043.9874412530035
2026-04-01 21:52:36,D0,25.37,50.0,2321.8086829021895,2667.1933919384246,2046.8018125846968
2026-04-01 21:52:37,D0,25.37,50.0,2324.200522760461,2662.727398739871,2049.7375197814963
2026-04-01 21:52:38,D0,25.38,50.0,2327.0185259253954,2658.0198588422923,2052.651227071954
2026-04-01 21:52:39,D0,25.38,50.0,2330.236247679621,2653.1199558255935,2055.5239210478676
2026-04-01 21:52:40,D0,25.38,50.0,2333.4662457383006,2648.4410924164426,2058.1241361978146
2026-04-01 21:52:41,D0,25.39,51.0,2335.9418421698774,2644.200898192117,2060.984849531893
