Adaptation,Mean_Latency_ms,Std_Latency_ms,Min_Latency_ms,Max_Latency_ms,N,Speedup_vs_A1
A0,0.0,0.0,0.0,0.0,90,1.0
A1,264.25,9.71,260.52,327.52,90,1.0
A2,9.8,7.86,0.0,17.32,90,27.0
