Model,F1_Score,Train_Time_s,Infer_Time_ms_per_sample,Model_Size_KB
One-Class SVM (Baseline),0.9033722663455315,0.0007965564727783203,0.002436183380965077,7.6552734375
LOF (n_neighbors=5) [Lighter],0.8494397809785756,0.0051059722900390625,0.0049628810851754974,25.388671875
LOF (n_neighbors=20),0.7587627802334145,2.3217077255249023,0.009338381987588665,36.529296875
One-Class SVM (Linear),0.232949955455158,0.0015134811401367188,0.0011882412221782236,12.3427734375
Isolation Forest (5 trees) [Lighter],0.14629117614297077,0.008508443832397461,0.002420391520313762,37.0869140625
Isolation Forest,0.12702335660815167,0.07888317108154297,0.008288801005275646,295.1337890625
