Model,F1_Score,Train_Time_s,Infer_Time_s,Infer_Time_ms_per_sample,Model_Size_KB,Num_Samples_Test
Random Forest (Lightweight),0.9196607989711438,0.010991334915161133,0.0005753040313720703,0.004023105114490002,20.4462890625,143
Decision Tree,0.8975205020261341,0.007879018783569336,0.0001728534698486328,0.0012087655234170127,5.8681640625,143
XGBoost (Shallow),0.8507287105417947,0.4042985439300537,0.0007297992706298828,0.0051034914030061735,13.0693359375,143
One-Class SVM (Baseline),0.743058921276743,0.0013344287872314453,0.00034427642822265625,0.0024075274700885055,6.3115234375,143
