Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D2,19.12,73.0,3689.75,1.22,3691.0,3687.0,3689.75,-1.499,1.099,0.2,1455.5,1.72,1458.0,1450.0,1455.5,-1.036,3.161,0.3,1064.75,1.09,1068.0,1063.0,1064.75,0.507,2.288,0.2
D2,19.12,73.0,3689.45,1.47,3691.0,3687.0,3689.45,-0.903,-0.786,0.1,1455.6,1.71,1458.0,1450.0,1455.6,-1.212,3.465,0.3,1064.75,1.09,1068.0,1063.0,1064.75,0.507,2.288,0.2
D2,19.12,73.0,3689.45,1.47,3691.0,3687.0,3689.45,-0.903,-0.786,0.1,1455.6,1.71,1458.0,1450.0,1455.6,-1.212,3.465,0.3,1064.75,1.09,1068.0,1063.0,1064.75,0.507,2.288,0.2
D2,19.12,73.0,3689.25,1.55,3691.0,3687.0,3689.25,-0.584,-1.297,0.1,1455.55,1.75,1458.0,1450.0,1455.55,-1.099,2.921,0.3,1064.95,1.28,1068.0,1063.0,1064.95,0.377,0.31,0.1
D2,19.12,73.0,3689.15,1.53,3691.0,3687.0,3689.15,-0.423,-1.351,0.1,1455.55,1.75,1458.0,1450.0,1455.55,-1.099,2.921,0.3,1065.15,1.42,1068.0,1063.0,1065.15,0.15,-0.588,0.1
D2,19.12,73.0,3689.05,1.5,3691.0,3687.0,3689.05,-0.263,-1.338,0.1,1455.55,1.75,1458.0,1450.0,1455.55,-1.099,2.921,0.3,1065.35,1.53,1068.0,1063.0,1065.35,-0.095,-1.007,0.1
D2,19.12,73.0,3688.95,1.47,3691.0,3687.0,3688.95,-0.104,-1.254,0.1,1455.55,1.75,1458.0,1450.0,1455.55,-1.099,2.921,0.3,1065.55,1.6,1068.0,1063.0,1065.55,-0.349,-1.142,0.1
D2,19.12,73.0,3688.75,1.3,3691.0,3687.0,3688.75,-0.077,-0.983,0.2,1455.25,1.55,1458.0,1450.0,1455.25,-1.398,4.703,0.5,1065.95,1.4,1068.0,1063.0,1065.95,-0.684,-0.535,0.1
D2,19.12,73.0,3688.5,1.07,3690.0,3687.0,3688.5,-0.365,-1.251,0.1,1455.15,1.53,1459.0,1450.0,1455.15,-1.099,5.561,1.0,1066.15,1.24,1068.0,1063.0,1066.15,-0.763,-0.254,0.1
D2,19.12,73.0,3688.45,0.97,3690.0,3687.0,3688.45,-0.347,-1.068,0.1,1455.75,1.44,1459.0,1454.0,1455.75,1.536,0.992,0.1,1065.8,1.47,1067.0,1063.0,1065.8,-0.786,-0.753,0.1
D2,19.12,73.0,3688.55,0.86,3690.0,3687.0,3688.55,-0.386,-0.582,0.1,1455.85,1.62,1459.0,1454.0,1455.85,1.3,-0.014,0.1,1065.9,1.73,1069.0,1063.0,1065.9,-0.542,-0.796,0.1
D2,19.12,73.0,3688.65,0.73,3690.0,3687.0,3688.65,-0.139,-0.223,0.1,1455.75,1.64,1459.0,1454.0,1455.75,1.426,0.187,0.1,1066.3,1.93,1069.0,1063.0,1066.3,-0.597,-0.667,0.3
D2,19.12,73.0,3688.45,0.59,3689.0,3687.0,3688.45,-0.538,-0.638,0.1,1455.75,1.64,1459.0,1454.0,1455.75,1.426,0.187,0.1,1066.7,2.03,1069.0,1063.0,1066.7,-0.849,-0.367,0.2
D2,19.12,73.0,3688.45,0.5,3689.0,3688.0,3688.45,0.201,-1.96,0.1,1455.8,1.6,1459.0,1455.0,1455.8,1.5,0.25,0.1,1066.9,2.14,1069.0,1063.0,1066.9,-0.877,-0.481,0.1
D2,19.12,73.0,3688.35,0.48,3689.0,3688.0,3688.35,0.629,-1.604,0.1,1455.8,1.6,1459.0,1455.0,1455.8,1.5,0.25,0.1,1067.1,2.23,1069.0,1063.0,1067.1,-0.96,-0.495,0.1
D2,19.12,73.0,3688.25,0.43,3689.0,3688.0,3688.25,1.155,-0.667,0.1,1455.7,1.68,1459.0,1454.0,1455.7,1.371,0.131,0.1,1067.2,2.25,1069.0,1063.0,1067.2,-1.067,-0.383,0.1
D2,19.12,73.0,3688.15,0.36,3689.0,3688.0,3688.15,1.96,1.843,0.1,1455.6,1.74,1459.0,1454.0,1455.6,1.304,0.042,0.1,1067.3,2.26,1069.0,1063.0,1067.3,-1.18,-0.236,0.1
D2,19.12,73.0,3688.05,0.22,3689.0,3688.0,3688.05,4.129,15.053,0.1,1455.5,1.8,1459.0,1454.0,1455.5,1.28,-0.012,0.1,1067.4,2.27,1069.0,1063.0,1067.4,-1.299,-0.049,0.1
D2,19.12,73.0,3688.0,0.0,3688.0,3688.0,3688.0,0.0,0.0,0.0,1455.2,1.66,1459.0,1454.0,1455.2,1.644,1.215,0.1,1067.7,2.03,1069.0,1063.0,1067.7,-1.749,1.409,0.1
