Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D4_D1eD2,35.49,37.0,3682.6,0.49,3683.0,3682.0,3682.6,-0.408,-1.833,0.1,1451.7,2.45,1454.0,1447.0,1451.7,-0.425,-1.169,0.1,1090.2,5.56,1101.0,1085.0,1090.21,0.451,-1.112,0.1
D4_D1eD2,35.49,37.0,3683.0,0.0,3683.0,3683.0,3683.0,0.0,0.0,0.0,1454.0,0.0,1454.0,1454.0,1454.0,0.0,0.0,0.0,1085.0,0.0,1085.0,1085.0,1085.0,0.0,0.0,0.0
D4_D1eD2,35.49,37.0,3683.85,0.96,3685.0,3683.0,3683.85,0.303,-1.853,0.1,1454.35,1.24,1458.0,1453.0,1454.35,2.491,4.684,0.2,1085.05,0.74,1088.0,1084.0,1085.05,2.883,10.038,0.6
D4_D1eD2,35.49,37.0,3684.45,0.59,3685.0,3683.0,3684.45,-0.538,-0.638,0.1,1453.95,1.43,1458.0,1453.0,1453.95,2.136,3.505,0.1,1086.55,1.63,1088.0,1084.0,1086.55,-0.298,-1.762,0.1
D4_D1eD2,35.49,37.0,3684.6,0.49,3685.0,3684.0,3684.6,-0.408,-1.833,0.1,1453.0,0.77,1454.0,1452.0,1453.0,0.0,-1.333,0.1,1088.3,0.46,1089.0,1088.0,1088.3,0.873,-1.238,0.1
D4_D1eD2,35.49,37.0,3684.65,0.73,3685.0,3683.0,3684.65,-1.705,1.071,0.1,1453.55,1.43,1457.0,1452.0,1453.55,0.411,-0.545,0.1,1088.2,0.75,1089.0,1086.0,1088.2,-1.059,1.526,0.1
D4_D1eD2,35.49,37.0,3684.15,0.65,3685.0,3683.0,3684.15,-0.164,-0.706,0.2,1454.85,1.19,1457.0,1452.0,1454.85,-0.941,0.972,0.3,1087.1,0.94,1089.0,1086.0,1087.1,0.157,-1.24,0.1
D4_D1eD2,35.57,36.55,3681.7,4.16,3684.0,3672.0,3681.7,-1.799,1.488,0.1,1453.0,6.77,1457.0,1437.0,1453.02,-1.903,1.728,0.2,1095.55,22.88,1150.0,1085.0,1095.79,1.957,1.836,0.1
D4_D1eD2,35.82,35.05,3675.7,5.07,3684.0,3672.0,3675.7,0.666,-1.502,0.1,1443.8,9.28,1457.0,1437.0,1443.83,0.639,-1.578,0.1,1127.35,30.87,1150.0,1085.0,1127.77,-0.629,-1.604,0.1
D4_D1eD2,35.99,34.0,3674.75,4.76,3683.0,3672.0,3674.75,1.155,-0.667,0.1,1441.75,8.23,1456.0,1437.0,1441.77,1.155,-0.667,0.1,1134.5,26.85,1150.0,1088.0,1134.82,-1.155,-0.667,0.1
D4_D1eD2,35.99,34.0,3680.25,4.8,3684.0,3672.0,3680.25,-1.098,-0.717,0.1,1450.55,7.92,1458.0,1437.0,1450.57,-1.071,-0.731,0.1,1104.05,26.54,1150.0,1088.0,1104.37,1.152,-0.669,0.1
D4_D1eD2,35.99,34.0,3683.5,0.81,3684.0,3681.0,3683.5,-1.717,2.355,0.1,1453.8,1.36,1458.0,1453.0,1453.8,1.665,2.039,0.1,1088.55,0.86,1090.0,1088.0,1088.55,1.006,-0.904,0.1
D4_D1eD2,35.99,34.0,3683.0,1.41,3684.0,3680.0,3683.0,-1.273,0.2,0.1,1454.4,2.35,1459.0,1450.0,1454.4,0.62,-0.439,0.1,1087.5,1.36,1089.0,1084.0,1087.5,-1.669,1.693,0.2
D4_D1eD2,35.99,34.0,3681.2,1.44,3684.0,3680.0,3681.2,0.56,-1.379,0.1,1454.75,2.43,1459.0,1450.0,1454.75,0.314,-0.807,0.1,1086.95,1.5,1089.0,1084.0,1086.95,-0.716,-0.162,0.3
D4_D1eD2,35.99,33.8,3681.1,1.48,3685.0,3680.0,3681.1,1.772,2.082,0.1,1454.35,1.28,1458.0,1453.0,1454.35,0.77,0.889,0.1,1085.65,1.71,1089.0,1084.0,1085.65,0.253,-1.5,0.1
D4_D1eD2,35.99,33.3,3683.4,1.96,3685.0,3681.0,3683.4,-0.408,-1.833,0.1,1455.0,0.0,1455.0,1455.0,1455.0,0.0,0.0,0.0,1086.2,1.99,1088.0,1084.0,1086.2,-0.201,-1.96,0.1
D4_D1eD2,35.99,33.0,3684.6,0.49,3685.0,3684.0,3684.6,-0.408,-1.833,0.1,1454.6,0.49,1455.0,1454.0,1454.6,-0.408,-1.833,0.1,1088.0,0.0,1088.0,1088.0,1088.0,0.0,0.0,0.0
D4_D1eD2,35.99,33.0,3683.7,1.27,3685.0,3680.0,3683.7,-2.361,4.343,0.3,1453.8,0.98,1455.0,1451.0,1453.8,-2.143,3.896,0.4,1087.8,0.6,1088.0,1086.0,1087.8,-2.667,5.111,0.1
D4_D1eD2,35.99,33.0,3681.6,1.96,3684.0,3680.0,3681.6,0.408,-1.833,0.1,1452.2,1.47,1454.0,1451.0,1452.2,0.408,-1.833,0.1,1086.8,0.98,1088.0,1086.0,1086.8,0.408,-1.833,0.1
D4_D1eD2,35.99,33.0,3680.7,0.95,3682.0,3680.0,3680.7,0.629,-1.604,0.1,1453.8,3.82,1459.0,1451.0,1453.81,0.629,-1.604,0.1,1087.75,2.38,1091.0,1086.0,1087.75,0.629,-1.604,0.1
D4_D1eD2,36.16,33.0,3681.8,0.81,3683.0,3680.0,3681.8,-1.298,1.094,0.2,1456.7,3.03,1459.0,1451.0,1456.7,-0.829,-0.858,0.1,1089.3,2.17,1091.0,1086.0,1089.3,-0.623,-1.418,0.1
D4_D1eD2,36.44,33.0,3682.1,0.3,3683.0,3682.0,3682.1,2.667,5.111,0.1,1455.9,1.81,1459.0,1454.0,1455.9,1.054,-0.707,0.1,1088.55,1.53,1091.0,1086.0,1088.55,0.531,-0.587,0.2
D4_D1eD2,36.55,33.0,3682.7,0.95,3684.0,3682.0,3682.7,0.629,-1.604,0.1,1455.7,0.95,1457.0,1455.0,1455.7,0.629,-1.604,0.1,1088.7,0.95,1090.0,1088.0,1088.7,0.629,-1.604,0.1
D4_D1eD2,36.55,33.0,3683.2,1.25,3685.0,3681.0,3683.2,-0.69,-1.069,0.3,1456.35,1.28,1458.0,1452.0,1456.35,-1.976,4.128,0.1,1088.25,1.73,1090.0,1086.0,1088.25,-0.214,-1.652,0.1
D4_D1eD2,36.54,33.0,3683.5,1.16,3685.0,3681.0,3683.5,-1.434,0.519,0.1,1456.15,1.11,1458.0,1452.0,1456.15,-2.284,7.318,0.2,1087.05,1.32,1090.0,1086.0,1087.05,0.947,-0.221,0.1
D4_D1eD2,36.54,33.0,3684.45,0.5,3685.0,3684.0,3684.45,0.201,-1.96,0.1,1455.15,1.06,1457.0,1454.0,1455.15,-0.051,-1.715,0.1,1086.85,0.96,1088.0,1084.0,1086.85,-1.04,1.495,0.1
D4_D1eD2,36.54,33.0,3684.2,1.17,3685.0,3682.0,3684.2,-0.961,-0.788,0.1,1456.1,2.41,1460.0,1454.0,1456.1,0.615,-1.293,0.1,1086.2,0.87,1087.0,1084.0,1086.2,-0.851,-0.114,0.1
D4_D1eD2,36.54,33.0,3684.3,1.62,3686.0,3681.0,3684.3,-0.563,-1.072,0.1,1457.8,1.63,1460.0,1455.0,1457.8,-0.16,-0.837,0.1,1086.3,1.35,1088.0,1083.0,1086.3,-0.31,-0.246,0.1
D4_D1eD2,36.54,33.0,3684.55,2.11,3686.0,3681.0,3684.55,-0.997,-0.858,0.1,1458.15,0.91,1460.0,1457.0,1458.15,0.099,-1.111,0.1,1084.95,2.27,1088.0,1083.0,1084.95,0.421,-1.684,0.1
