Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D4_D2eD3,19.12,73.0,3689.68,1.22,3690.7,3686.4,3689.69,-1.851,2.043,0.2,1455.48,1.84,1459.3,1450.2,1455.48,-0.515,1.722,0.4,1065.04,2.25,1069.0,1060.0,1065.05,-0.353,-0.608,0.4
D4_D2eD3,19.12,73.0,3689.37,1.46,3690.7,3686.4,3689.37,-1.101,-0.491,0.1,1455.6,1.83,1459.3,1450.2,1455.6,-0.705,1.99,0.3,1065.1,2.18,1069.0,1060.0,1065.1,-0.417,-0.317,0.4
D4_D2eD3,19.12,73.0,3689.3,1.42,3690.7,3686.4,3689.3,-1.077,-0.507,0.1,1455.69,1.79,1459.3,1450.2,1455.69,-0.87,2.584,0.4,1064.96,2.06,1069.0,1060.0,1064.96,-0.422,-0.024,0.8
D4_D2eD3,19.12,73.0,3689.05,1.46,3690.7,3686.4,3689.05,-0.713,-1.173,0.1,1455.68,1.77,1459.3,1450.2,1455.68,-0.86,2.784,0.4,1065.15,2.07,1069.0,1060.0,1065.15,-0.604,0.13,0.8
D4_D2eD3,19.12,73.0,3688.94,1.42,3690.7,3686.4,3688.94,-0.582,-1.216,0.1,1455.67,1.78,1459.3,1450.2,1455.67,-0.854,2.691,0.4,1065.22,2.1,1069.0,1060.0,1065.22,-0.654,0.046,0.8
D4_D2eD3,19.12,73.0,3688.82,1.37,3690.7,3686.4,3688.82,-0.431,-1.206,0.1,1455.7,1.8,1459.3,1450.2,1455.71,-0.885,2.516,0.4,1065.38,2.23,1069.0,1060.0,1065.38,-0.586,-0.195,0.8
D4_D2eD3,19.12,73.0,3688.77,1.34,3690.7,3686.4,3688.77,-0.381,-1.15,0.1,1455.79,1.78,1459.3,1450.2,1455.79,-1.04,2.892,0.6,1065.62,2.4,1070.5,1060.0,1065.62,-0.221,0.036,0.8
D4_D2eD3,19.12,73.0,3688.64,1.27,3690.7,3686.4,3688.65,-0.288,-1.008,0.1,1455.51,1.65,1459.3,1450.2,1455.51,-1.018,3.847,0.6,1065.94,2.46,1070.5,1060.0,1065.94,-0.267,0.017,0.5
D4_D2eD3,19.12,73.0,3688.41,1.09,3690.1,3686.4,3688.41,-0.378,-0.998,0.1,1455.42,1.55,1458.8,1450.2,1455.42,-1.393,4.674,0.6,1066.31,2.19,1070.5,1062.0,1066.31,0.014,-0.628,0.8
D4_D2eD3,19.12,73.0,3688.3,1.01,3689.8,3686.4,3688.3,-0.262,-1.124,0.1,1455.96,1.34,1458.9,1454.1,1455.97,1.038,0.268,0.1,1065.91,2.24,1070.5,1062.0,1065.91,0.281,-0.712,0.1
D4_D2eD3,19.12,73.0,3688.42,0.9,3689.8,3686.9,3688.42,-0.269,-0.994,0.1,1456.0,1.48,1458.9,1454.1,1456.01,0.88,-0.471,0.1,1065.8,2.36,1070.5,1062.0,1065.8,0.238,-0.888,0.1
D4_D2eD3,19.12,73.0,3688.52,0.77,3689.8,3687.1,3688.52,-0.168,-0.663,0.1,1455.87,1.54,1458.9,1454.1,1455.87,0.944,-0.481,0.1,1066.02,2.38,1070.5,1062.0,1066.02,-0.002,-0.994,0.3
