Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D3,19.66,72.0,3686.72,0.84,3689.1,3685.0,3686.73,0.305,1.971,0.1,1443.7,1.98,1447.7,1440.8,1443.7,0.515,-0.908,0.1,1082.26,0.77,1083.6,1080.4,1082.26,-0.566,0.232,0.8
D3,19.56,72.0,3687.34,1.28,3691.0,3686.4,3687.34,2.05,2.724,0.3,1443.48,1.35,1446.0,1440.5,1443.49,0.097,-0.206,0.2,1081.47,1.45,1084.6,1078.9,1081.47,0.145,-0.648,0.1
D3,19.39,72.0,3686.9,1.71,3691.0,3684.6,3686.91,0.924,0.346,0.1,1443.4,1.27,1446.0,1440.5,1443.4,-0.058,0.174,0.3,1081.04,1.47,1084.6,1078.3,1081.05,0.231,-0.103,0.6
D3,19.32,72.0,3687.04,1.54,3689.2,3684.6,3687.04,-0.092,-1.35,0.1,1444.09,1.45,1447.0,1441.5,1444.09,0.628,-0.469,0.1,1082.14,1.7,1085.6,1078.3,1082.15,0.047,0.036,0.2
D3,19.32,72.0,3687.83,0.79,3689.1,3686.5,3687.83,-0.011,-1.234,0.1,1444.36,1.46,1447.0,1442.2,1444.37,0.463,-1.136,0.1,1082.27,1.76,1085.6,1079.2,1082.27,0.295,-1.091,0.1
D3,19.32,72.0,3687.63,0.77,3690.1,3686.6,3687.63,1.36,2.651,0.5,1444.54,1.5,1447.0,1441.8,1444.55,-0.024,-0.994,0.1,1081.22,1.46,1084.5,1078.6,1081.23,0.403,-0.207,0.7
D3,19.32,72.0,3688.24,1.35,3690.5,3686.6,3688.25,0.676,-1.214,0.1,1444.82,1.21,1447.0,1441.8,1444.82,-0.209,0.35,0.1,1081.46,1.85,1084.9,1078.6,1081.47,0.283,-1.11,0.4
D3,19.32,72.0,3687.9,1.59,3690.5,3685.8,3687.9,0.338,-1.102,0.1,1445.16,1.67,1449.1,1442.5,1445.16,0.62,-0.305,0.1,1082.26,1.96,1084.9,1079.2,1082.26,-0.426,-1.336,0.5
D3,19.32,72.0,3686.52,0.84,3688.5,3685.5,3686.52,1.049,-0.154,0.1,1446.31,1.62,1449.1,1442.5,1446.31,-0.864,0.242,0.1,1082.51,1.52,1084.5,1079.3,1082.51,-0.87,-0.149,0.1
D3,19.32,72.0,3687.15,1.17,3689.1,3685.5,3687.15,0.42,-1.221,0.1,1446.6,0.94,1448.2,1445.0,1446.6,-0.021,-1.205,0.1,1081.9,1.3,1084.1,1079.6,1081.9,-0.189,-0.577,0.1
D3,19.32,72.0,3688.16,0.7,3689.1,3686.8,3688.16,-0.448,-0.575,0.1,1446.09,0.96,1448.2,1443.7,1446.09,0.065,0.807,0.2,1081.8,1.04,1084.2,1079.6,1081.8,-0.235,0.501,1.0
D3,19.32,72.0,3688.23,0.47,3689.0,3687.6,3688.23,0.334,-1.137,0.6,1445.61,2.0,1450.2,1442.0,1445.61,0.51,0.022,0.2,1081.6,1.43,1084.2,1079.0,1081.61,-0.398,-0.815,0.1
D3,19.32,72.0,3687.76,1.07,3689.0,3685.7,3687.76,-0.627,-0.93,0.1,1446.07,2.37,1450.2,1442.0,1446.07,0.201,-1.25,0.2,1081.23,1.65,1084.5,1077.6,1081.23,-0.234,-0.366,0.3
D3,19.32,72.0,3688.63,1.83,3691.2,3685.7,3688.63,-0.149,-1.268,0.1,1445.12,2.22,1449.0,1441.9,1445.12,0.464,-0.99,0.1,1080.99,2.19,1084.5,1077.0,1080.99,-0.343,-0.868,0.4
D3,19.32,72.4,3689.25,1.44,3691.2,3684.8,3689.25,-1.16,2.242,0.1,1444.63,2.08,1448.0,1440.8,1444.64,0.058,-1.219,0.1,1080.88,2.23,1084.3,1077.0,1080.89,-0.078,-1.045,0.4
D3,19.29,72.9,3687.9,1.49,3689.6,3684.8,3687.91,-0.646,-1.126,0.2,1445.18,1.82,1448.0,1440.8,1445.18,-0.403,-0.257,0.1,1081.14,1.84,1084.3,1077.9,1081.14,0.09,-1.118,0.4
D3,19.25,73.0,3687.98,1.53,3690.8,3685.7,3687.98,0.193,-1.16,0.2,1445.31,1.57,1448.8,1442.7,1445.32,0.336,-0.513,0.1,1081.15,1.91,1084.3,1078.5,1081.15,0.113,-1.547,0.1
D3,19.23,73.0,3688.17,1.38,3690.8,3685.2,3688.17,-0.007,-0.48,0.2,1445.52,1.31,1448.8,1443.5,1445.53,0.622,-0.02,0.2,1081.0,1.72,1084.3,1077.6,1081.0,0.086,-0.623,0.2
D3,19.23,73.0,3688.82,1.46,3690.3,3685.2,3688.82,-1.003,-0.173,0.1,1446.05,1.27,1448.0,1444.0,1446.05,0.09,-1.237,0.1,1080.43,1.09,1082.3,1077.6,1080.43,-0.737,0.477,0.5
D3,19.23,73.0,3689.98,0.54,3691.2,3688.2,3689.99,-1.27,4.387,0.7,1447.1,0.91,1448.8,1445.5,1447.1,-0.047,-1.077,0.7,1080.7,0.93,1082.3,1078.7,1080.7,-0.334,-0.429,0.5
D3,19.23,73.0,3689.06,1.09,3691.2,3687.8,3689.07,0.329,-1.438,0.1,1446.72,0.97,1448.8,1445.1,1446.72,0.305,-0.504,0.1,1080.82,0.8,1082.3,1079.1,1080.83,-0.324,-0.508,0.7
