Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D0,19.66,72.0,3686.65,0.96,3689.0,3685.0,3686.65,-0.261,0.518,0.1,1443.7,1.85,1447.0,1442.0,1443.7,0.92,-0.712,0.1,1082.1,0.44,1083.0,1081.0,1082.1,0.507,1.756,0.6
D0,19.66,72.0,3686.85,0.79,3689.0,3685.0,3686.85,-0.33,2.755,0.1,1443.8,1.78,1447.0,1442.0,1443.8,0.944,-0.648,0.1,1082.1,0.44,1083.0,1081.0,1082.1,0.507,1.756,0.6
D0,19.66,72.0,3687.05,0.5,3689.0,3686.0,3687.05,2.54,9.794,0.5,1444.1,1.73,1447.0,1442.0,1444.1,0.716,-1.038,0.1,1082.1,0.77,1084.0,1080.0,1082.1,-0.172,2.159,0.7
D0,19.64,72.0,3687.25,0.99,3691.0,3686.0,3687.25,2.847,7.749,0.9,1444.15,1.74,1447.0,1441.0,1444.15,0.51,-0.858,0.1,1081.85,0.85,1084.0,1080.0,1081.85,-0.192,1.496,0.2
D0,19.61,72.0,3687.5,1.24,3691.0,3687.0,3687.5,2.254,3.374,0.3,1443.85,1.74,1447.0,1441.0,1443.85,0.516,-0.505,0.2,1081.75,0.94,1084.0,1080.0,1081.75,-0.202,0.611,0.2
D0,19.58,72.0,3687.5,1.24,3691.0,3687.0,3687.5,2.254,3.374,0.3,1443.45,1.4,1447.0,1441.0,1443.45,0.71,0.762,0.2,1081.55,1.07,1084.0,1080.0,1081.55,-0.008,-0.344,0.1
D0,19.54,72.0,3687.5,1.24,3691.0,3687.0,3687.5,2.254,3.374,0.3,1443.25,1.09,1446.0,1441.0,1443.25,0.188,1.224,0.2,1081.3,1.1,1084.0,1080.0,1081.3,0.289,-0.42,0.1
D0,19.51,72.0,3687.2,1.4,3691.0,3685.0,3687.2,1.609,3.038,0.1,1443.05,1.07,1446.0,1441.0,1443.05,0.389,1.433,0.3,1081.2,1.08,1084.0,1080.0,1081.2,0.557,-0.055,0.1
D0,19.47,72.0,3687.0,1.55,3691.0,3685.0,3687.0,1.291,2.0,0.1,1442.95,1.12,1446.0,1441.0,1442.95,0.529,0.97,0.3,1081.1,1.04,1084.0,1080.0,1081.1,0.854,0.574,0.1
D0,19.44,72.0,3686.9,1.58,3691.0,3685.0,3686.9,1.387,1.989,0.1,1443.05,1.16,1446.0,1441.0,1443.05,0.286,0.327,0.3,1081.1,1.04,1084.0,1080.0,1081.1,0.854,0.574,0.1
D0,19.4,72.0,3686.9,1.61,3691.0,3685.0,3686.9,1.314,1.627,0.1,1443.15,1.19,1446.0,1441.0,1443.15,0.061,-0.058,0.3,1081.1,1.04,1084.0,1080.0,1081.1,0.854,0.574,0.1
D0,19.37,72.0,3687.1,1.73,3691.0,3685.0,3687.1,0.89,0.197,0.1,1443.25,1.22,1446.0,1441.0,1443.25,-0.155,-0.257,0.2,1081.1,1.04,1084.0,1080.0,1081.1,0.854,0.574,0.1
D0,19.34,72.0,3687.3,1.82,3691.0,3685.0,3687.3,0.547,-0.586,0.1,1443.15,1.06,1444.0,1441.0,1443.15,-0.802,-0.818,0.2,1081.1,0.83,1082.0,1080.0,1081.1,-0.188,-1.526,0.1
