timestamp_unix,timestamp_iso,voltage_v,current_a,power_w,temp_c,energy_ws,capacity_as,duration_sec
1780157201.6783628,2026-05-30T17:06:41.678365,5.12738,0.78044,4.001612447199999,31.8,0.040016124471999995,0.0078044,0.017660140991210938
1780157201.6784148,2026-05-30T17:06:41.678416,5.12738,0.75877,3.8905021225999996,31.8,0.07892114569799999,0.015392099999999999,0.017660140991210938
1780157201.6784246,2026-05-30T17:06:41.678425,5.12738,0.78866,4.0437595108,31.8,0.119358740806,0.0232787,0.017660140991210938
1780157201.678431,2026-05-30T17:06:41.678431,5.12738,0.77222,3.9594653836,31.8,0.15895339464199998,0.031000899999999998,0.017660140991210938
1780157201.7007747,2026-05-30T17:06:41.700777,5.12664,0.74816,3.8355469824000004,31.7,0.197308864466,0.038482499999999996,0.040082693099975586
1780157201.7008038,2026-05-30T17:06:41.700804,5.12664,0.74816,3.8355469824000004,31.7,0.23566433429,0.045964099999999994,0.040082693099975586
1780157201.7008104,2026-05-30T17:06:41.700810,5.12664,0.74816,3.8355469824000004,31.7,0.274019804114,0.05344569999999999,0.040082693099975586
1780157201.700816,2026-05-30T17:06:41.700816,5.12664,0.73686,3.7776159504,31.7,0.311795963618,0.06081429999999999,0.040082693099975586
1780157201.740732,2026-05-30T17:06:41.740734,5.12664,0.74816,3.8355469824000004,31.7,0.350151433442,0.06829589999999999,0.08003592491149902
1780157201.7407618,2026-05-30T17:06:41.740765,5.1266,0.74833,3.836388578,31.7,0.388515319222,0.07577919999999999,0.08003592491149902
1780157201.7407842,2026-05-30T17:06:41.740784,5.1266,0.73611,3.7737415260000002,31.7,0.426252734482,0.08314029999999999,0.08003592491149902
1780157201.7407942,2026-05-30T17:06:41.740795,5.1266,0.74833,3.836388578,31.7,0.464616620262,0.09062359999999998,0.08003592491149902
1780157201.7807658,2026-05-30T17:06:41.780768,5.1266,0.74833,3.836388578,31.7,0.5029805060420001,0.09810689999999998,0.12005209922790527
1780157201.7808619,2026-05-30T17:06:41.780864,5.1266,0.73163,3.7507743579999997,31.7,0.540488249622,0.10542319999999998,0.12005209922790527
1780157201.7808805,2026-05-30T17:06:41.780881,5.1266,0.74833,3.836388578,31.7,0.5788521354020001,0.11290649999999998,0.12005209922790527
1780157201.780894,2026-05-30T17:06:41.780894,5.1266,0.74833,3.836388578,31.7,0.6172160211820001,0.12038979999999998,0.12005209922790527
1780157201.820771,2026-05-30T17:06:41.820774,5.1266,0.74833,3.836388578,31.7,0.6555799069620002,0.1278731,0.16007280349731445
1780157201.8208106,2026-05-30T17:06:41.820811,5.1266,0.74833,3.836388578,31.7,0.6939437927420002,0.1353564,0.16007280349731445
1780157201.8208282,2026-05-30T17:06:41.820829,5.1266,0.74833,3.836388578,31.7,0.7323076785220003,0.1428397,0.16007280349731445
1780157201.820842,2026-05-30T17:06:41.820842,5.1266,0.74827,3.836080982,31.7,0.7706684883420003,0.1503224,0.16007280349731445
1780157201.8610415,2026-05-30T17:06:41.861046,5.1266,0.73163,3.7507743579999997,31.7,0.8081762319220003,0.1576387,0.2003328800201416
1780157201.8611114,2026-05-30T17:06:41.861114,5.1266,0.74827,3.836080982,31.7,0.8465370417420003,0.1651214,0.2003328800201416
1780157201.8611748,2026-05-30T17:06:41.861176,5.1266,0.74827,3.836080982,31.7,0.8848978515620003,0.1726041,0.2003328800201416
1780157201.8612185,2026-05-30T17:06:41.861219,5.1266,0.73736,3.780149776,31.7,0.9226993493220003,0.17997770000000002,0.2003328800201416
1780157201.901044,2026-05-30T17:06:41.901047,5.1266,0.74827,3.836080982,31.7,0.9610601591420003,0.18746040000000003,0.24034333229064941
1780157201.9010835,2026-05-30T17:06:41.901084,5.1266,0.74827,3.836080982,31.7,0.9994209689620003,0.19494310000000004,0.24034333229064941
1780157201.9011014,2026-05-30T17:06:41.901103,5.1266,0.74827,3.836080982,31.7,1.0377817787820003,0.20242580000000004,0.24034333229064941
1780157201.9011166,2026-05-30T17:06:41.901117,5.1266,0.74827,3.836080982,31.7,1.0761425886020002,0.20990850000000005,0.24034333229064941
1780157201.9407313,2026-05-30T17:06:41.940733,5.1266,0.81879,4.197608814,31.7,1.1181186767420002,0.21809640000000005,0.2800414562225342
1780157201.9407508,2026-05-30T17:06:41.940751,5.12648,0.74821,3.8356836008000004,31.7,1.1564755127500002,0.22557850000000004,0.2800414562225342
1780157201.9407573,2026-05-30T17:06:41.940757,5.12648,0.74821,3.8356836008000004,31.7,1.1948323487580002,0.23306060000000003,0.2800414562225342
1780157201.940763,2026-05-30T17:06:41.940763,5.12648,0.74821,3.8356836008000004,31.7,1.2331891847660001,0.24054270000000003,0.2800414562225342
1780157201.9807642,2026-05-30T17:06:41.980765,5.12648,0.74821,3.8356836008000004,31.7,1.2715460207740001,0.24802480000000002,0.32007408142089844
1780157201.9807825,2026-05-30T17:06:41.980782,5.12648,0.73088,3.7468417024,31.7,1.3090144377980002,0.2553336,0.32007408142089844
1780157201.9807885,2026-05-30T17:06:41.980788,5.12648,0.74821,3.8356836008000004,31.7,1.3473712738060002,0.2628157,0.32007408142089844
1780157201.9807942,2026-05-30T17:06:41.980794,5.12648,0.74821,3.8356836008000004,31.7,1.3857281098140002,0.2702978,0.32007408142089844
1780157202.0209932,2026-05-30T17:06:42.020996,5.12648,0.73536,3.7698083328,31.7,1.4234261931420003,0.2776514,0.36029529571533203
1780157202.0210333,2026-05-30T17:06:42.021034,5.12648,0.74821,3.8356836008000004,31.7,1.4617830291500002,0.2851335,0.36029529571533203
1780157202.0210488,2026-05-30T17:06:42.021049,5.12648,0.75828,3.8873072543999996,31.7,1.5006561016940003,0.2927163,0.36029529571533203
1780157202.0210626,2026-05-30T17:06:42.021063,5.12648,0.74803,3.8347608344,31.7,1.5390037100380003,0.3001966,0.36029529571533203
1780157202.0612164,2026-05-30T17:06:42.061220,5.12648,0.74803,3.8347608344,31.7,1.5773513183820003,0.3076769,0.4004991054534912
